id,list_price,uom_id/id,cost_method,categ_id/id,name,sale_ok,company_id/id,uom_po_id,type,supply_method,procure_method,purchase_ok,standard_price
177,1.00,1,standard,1,a)Nº8 Art 25ºTabela Geral-Circo p/mês,TRUE,1,1,product,produce,make_to_stock,FALSE,1
178,1.00,1,standard,1,Nº9 Art 25º Tabela Geral-Expositores,TRUE,1,1,product,produce,make_to_stock,FALSE,1
179,1.00,1,standard,1,Nº10 Art 25º Tabela Geral-Tapumes,TRUE,1,1,product,produce,make_to_stock,FALSE,1
180,1.00,1,standard,1,Nº10 Art 25º Tabela Geral-Tapumes,TRUE,1,1,product,produce,make_to_stock,FALSE,1
181,1.00,1,standard,1,Nº11 Art 25º Tabela Geral-Andaimes,TRUE,1,1,product,produce,make_to_stock,FALSE,1
182,1.00,1,standard,1,Nº11 Art 25º Tabela Geral-Andaimes,TRUE,1,1,product,produce,make_to_stock,FALSE,1
183,1.00,1,standard,1,Nº12 Art 25º Tabela Geral-Auto-bombas,TRUE,1,1,product,produce,make_to_stock,FALSE,1
184,1.00,1,standard,1,Nº12 Art 25º Tabela Geral-Auto-bombas,TRUE,1,1,product,produce,make_to_stock,FALSE,1
185,1.00,1,standard,1,"Nº13 Art 25º Tabela Geral-Gruas,guindaste",TRUE,1,1,product,produce,make_to_stock,FALSE,1
186,1.00,1,standard,1,"Nº13 Art 25º Tabela Geral-Gruas,guindaste",TRUE,1,1,product,produce,make_to_stock,FALSE,1
187,1.00,1,standard,1,Nº15 Art 25º Tabela Geral-Interrupções Trânsito,TRUE,1,1,product,produce,make_to_stock,FALSE,1
188,1.00,1,standard,1,Nº15 Art 25º Tabela Geral-Interrupções Trânsito,TRUE,1,1,product,produce,make_to_stock,FALSE,1
189,1.00,1,standard,1,Nº14 Art 25º Tabela Geral-Condicionamento,TRUE,1,1,product,produce,make_to_stock,FALSE,1
190,1.00,1,standard,1,Nº14 Art 25º Tabela Geral-Condicionamento,TRUE,1,1,product,produce,make_to_stock,FALSE,1
191,1.00,1,standard,1,Nº16 Art 25º Tabela Geral-Abertura Vala,TRUE,1,1,product,produce,make_to_stock,FALSE,1
192,1.00,1,standard,1,Nº16 Art 25º Tabela Geral-Abertura Vala,TRUE,1,1,product,produce,make_to_stock,FALSE,1
193,1.00,1,standard,1,Nº 17 Art 25º Tabela Geral - Outras ocupações,TRUE,1,1,product,produce,make_to_stock,FALSE,1
194,1.00,1,standard,1,Nº 17 Art 25º Tabela Geral - Ocupações floristas,TRUE,1,1,product,produce,make_to_stock,FALSE,1
